,Latitude,Longitude,name,wheelchair,wheelchair:description,amenity,opening_hours,tourism,atm,website,cuisine,toilets:wheelchair,image,image2,bus,railway,public_transport,PublicTraffic,What
44,25.7286072364651,32.5929220324244,مقبرة وادى الملكات,Cemetery Valley of the Queens,عصر الدولة القديمة,محافظة الأقصر,"وادي الملكات هو مكان دفن الملكات في مصر القديمة. عرف قديمًا باسم ""تا - ست - نفرو""، ومعناه: ""مكان أبناء الفرعون"" أو ""مكان الجمال""؛ لأن في هذا المكان تم دفن ملكات الأسرات الثامنة عشر، والتاسعة عشر والعشرين، بالإضافة إلى العديد من الأمراء والأميرات وعدد من طبقة النبلاء. ",السياحة الأثرية والتاريخية,,مقابر فرعونية,مصر,مقابر أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/valleyqueen.jpg',,,,,,
49,25.7417054189164,32.5923166447635,وادى القرود,Monkey Valley,عصر الدولة القديمة,محافظة الأقصر,"واد مغلق بجبل القرنة غربي مدينة الأقصر، يشبه وادي الملوك في تضاريسه، وجغرافيته، وتحيط به سلاسل جبلية من الجنوب والشرق والغرب، ويطلق عليه وادي القرود، أو الوادي الغربي.  يحتوي ""وادي القرود"" على 4 مقابر فقط، أشهرها لـ""أمنحتب الثالث أحد ملوك الأسرة ال18، ومقبرة خپر خپرو رع آى الملك رقم 13 للأسرة الثامنة عشر أيضا وهى المقبرة الوحيدة المتاحة للزوار بالوادي كله"".",السياحة الأثرية والتاريخية,,مقابر فرعونية,مصر,مقابر أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/monkey%20valley.jpeg',,,,,,
50,25.7403705912797,32.6014003432686,مقبرة توت عنخ آمون,Tomb of Tut Ankh Amun,عصر الدولة القديمة,محافظة الأقصر,"صمم عالم الآثار البريطاني هوارد كارتر هذا البيت وشيّده بالطوب اللبن في عام 1910. وكان يسكن فيه عندما اكتشف هو وراعيه اللورد كارنرفون ومعاونوهما المصريون والأجانب مقبرة توت عنخ آمون عام 1922. كان موقع البيت مناسبًا لأعمال التنقيب التي كان يقوم بها في جبانة طيبة القديمة ووادي الملوك. ظل هذا البيت مقرًا لكارتر في الأقصر حتى وفاته في عام 1939، وقد عُرف هذا الموقع محليًا باسم ""علوة الدبان"" (تل الذباب). شُيّد البيت حول قاعة مركزية تعلوها قبة، وكان يضم غرفتي نوم وقاعات لممارسة العمل وغرفة معتمة لأنشطة التصوير وغرفًا للخدم. عاش كارتر في هذا البيت عندما لم تكن هناك أية مياه جارية أو كهرباء أو هاتف أو حديقة. وضع كارتر في بيته آنذاك أثاثًا بسيطًا محلي الصنع إلى جانب أعماله الفنية ومجموعة صغيرة من الآثار. وللأسف لم يتبق منها سوى عدد قليل من الصور وبعض الملامح الداخلية. ترك كارتر بيته لمتحف المتروبوليتان للفنون في نيويورك تقديرًا للدعم الذي قدمه المتحف له في أعمال التنقيب عن مقبرة توت عنخ آمون. انتقلت ملكية البيت بعد ذلك إلى هيئة الآثار المصرية التي قامت بتوسعته جهة الغرب، واستخدمت المبنى مقرًا لإقامة مفتشي وعلماء الآثار. تحوّل بيت كارتر إلى متحف في عام 2009. كما قامت مؤسسة ""فاكتوم آرت"" بإنشاء نسخة طبق الأصل من مقبرة توت عنخ آمون بأرض البيت وأهدتها إلى وزارة الآثار في عام 2014. خضع بيت كارتر والحدائق لأعمال الترميم في عام 2022 بمناسبة مرور مائة عام على اكتشاف كارتر المُذْهل.",السياحة الأثرية والتاريخية,,مقابر فرعونية,مصر,مقابر أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/tootankhamoon.jpg',,,,,,
53,25.7401762415158,32.6014129300928,وادى الملوك,Valley of the Kings,عصر الدولة القديمة,محافظة الأقصر,"دفن معظم ملوك الأسرات الثامنة عشر والتاسعة عشر والعشرين من عصر الدولة الحديثة (حوالي 1550 - 1069 ق.م.) في وادي نهر جاف على الضفة الغربية من مدينة طيبة القديمة (الأقصر الحديثة)، ومن هنا جاء اسمه وادي الملوك، غير أن هذا الاسم ليس دقيقًا تمامًا نظرًا لأن بعض أفراد العائلة المالكة بخلاف الملوك تم دفنهم فيه، وكذلك بعض الأفراد غير الملكيين، وإن كانوا رفيعي المستوى. وينقسم وادي الملوك إلى الواديان الشرقي والغربي. يعد الجزء الشرقي الأكثر شهرة بينهما، حيث يحتوي الوادي الغربي على عدد قليل من المقابر، ويضم وادي الملوك إجمالاً أكثر من ستين مقبرة بالإضافة إلى عشرين مقبرة غير مكتملة لا تزيد عن كونها حفر.  تم اختيار هذا الموقع لدفن الملوك بعناية؛ حيث يقع على الضفة الغربية للنيل، وذلك لأن إله الشمس ينزل (يموت) في الأفق الغربي من أجل أن يولد من جديد، ويتجدد شبابه في الأفق الشرقي، ولهذا السبب ارتبط الغرب بالمفاهيم الجنائزية وكانت معظم المقابر المصرية القديمة تقع عمومًا على الضفة الغربية لنهر النيل لهذا السبب. تم دفن ملوك الدولة الحديثة الأقوياء تحت قمة جرف صخري هرمي الشكل يحيط بالوادي. ولم يكن اختيار الوادي لنحت المقابر الملكية من قبيل الصدفة، فقد كان الهرم رمزًا للبعث والحياة الأبدية، كما اعتبر الشكل الهرمي إشارة من المعبودات، كانت هذه المنطقة والقمة نفسها، تحت سيطرة المعبودة حتحور: ""سيدة الغرب"". كانت الطبيعة المنعزلة لهذا الوادي سببًا آخر لاختياره كمكان الراحة الأخير للملوك، فقد سرقت المقابر في العصور القديمة - كما حدث الأهرام الدولة القديمة والوسطى- وتجنبًا لذلك المصير، اختاروا مقابر خفية تحت الأرض في وادي صحراوي منعزل. أول حكام الدولة الحديثة الذي تأكد دفنه في وادي الملوك كان تحتمس الأول (حوالي 1504-1492 ق.م.) ثالث ملوك الأسرة الثامنة عشرة. وفقًا لإيني، كبير مسئولي حفر مقبرته: ""أشرفت على حفر مقبرته [الملك] في خصوصية، لا أحد يرى ولا أحد يسمع"".",السياحة الأثرية والتاريخية,,مقابر فرعونية,مصر,مقابر أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/valley%20kings.jpg',,,,,,
54,25.7286072364651,32.5929220324244,وادى الملكات ,Valley of the Queens,عصر الدولة القديمة,محافظة الأقصر,"يقع وادي الملكات على الضفة الغربية لمدينة الأقصر على مقربة من وادي الملوك، وهو المكان الذي دفنت فيه زوجات الفراعنة في الأزمنة القديمة وكذلك الأمراء والأميرات من مختلف أفراد طبقة النبلاء. تعتبر مقبرة نفرتاري,وهي زوجة و حبيبة الملك رمسيس الثاني من أشهر المعالم الأثرية.. ويقال أن هذه المقبرة هي الأجمل في مصر. فجميع جدرانها مزينة بنقوش تمثل نفرتاري وهي تتلقى التوجيه والإرشاد من الآلهة.",السياحة الأثرية والتاريخية,,مقابر فرعونية,مصر,مقابر أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/valleyqueen.jpg',,,,,,
57,25.7280564972809,32.6014265023205,مقابر دير المدينة,Deir el-Medina tombs,عصر الدولة القديمة,محافظة الأقصر,"تقع منطقة دير المدينة في جبل القرنة، البر الغربي في شمال وادي الملوك بالأقصر جنوب مصر وتعتبر جزء من مقابر جبانة مدينة طيبة الجنائزية.",السياحة الأثرية والتاريخية,,مقابر فرعونية,مصر,مقابر أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/derirElmadena.jpg',,,,,,
68,25.2698560585574,32.5978960539266,منطقة الكاب الأثرية,Cape archaeological area,عصر الدولة القديمة,محافظة أسوان,وتعد مدينة الكاب الأثرية بإدفو واحدة من تلك الآثار الغير معروفة في جنوب مصر ولذلك فللأسف الشديد فهي غير موجودة أو مدرجة علي الخريطة السياحية المصرية ولا يذهب عادة السائحون إلى هذه المدينة الأثرية نفسها ربما لأنها بعيدة نسبيا أو تتطلب إعدادا خاصا من أجل زيارتها غير أن رؤيتها لا تفوتهم فيرون من القطار أسوارها الضخمة الدالة على بقايا مدينة كبيرة كان لها أهمية كبيرة حيث كانت عاصمة مصر العليا في عصور ما قبل التاريخ ثم أصبحت فيما بعد عاصمة الإقليم الثالث لها طوال فترة تزيد علي الثلاثة آلاف عام وحتي حكم عصر البطالمة وحتي العصور البيزنطية كما كانت من المراكز الدينية الهامة ولذلك كله فقد شهدت أيام مجد وعظمة منذ عصور ما قبل التاريخ وجدير بالذكر أن هذه المدينة كانت في العصور القديمة تسمي نخب أو نخاب وقد سماها الإغريق إليثياسبوليس أى مدينة الآلهة إليثيا وبعد الفتح الإسلامي لمصر تم تحريف إسمها الأول نخب أو نخاب إلي إنكاب ثم أصبحت تسمي بعد ذلك الكاب وهو الإسم المعروفة به حتي اليوم .  وتقع مدينة الكاب الأثرية في نطاق محافظة أسوان آخر محافظات مصر الجنوبية جنوبي مدينة إدفو بحوالي 30 كيلو متر وعلى مسافة حوالي 83 كيلو متر جنوب مدينة الأقصر وعلي بعد حوالي 80 كيلو متر شمالي مدينة أسوان على الشاطيء الشرقي لنهر النيل وأطلال هذه المدينة لا تبعد أكثر من 300 متر عن الطريق العام وتتركز آثارها الهامة فوق ربوة عالية وللأسف تكاد هذه المدينة العريقة أن تختفي من الوجود تماما بفعل الزمن وعدم إهتمام البشر بها ولم يعرف تاريخ هذه المدينة جيدا إلا بعد حفائر البعثة البلجيكية منذ سنة 1937م ومما يدل على عظمة تلك المدينة القديمة وجود المخازن الضخمة من العصر الثني أو الطيني والنقوش التي تم إكتشافها علي صخرة بموقع المدينة تسمي صخرة النسور كما تشمل المدينة العديد من الآثار التي تعود إلى عصر الدولة الفرعونية القديمة كما تشمل عدة مقابر من الدولة الفرعونية الوسطى وتشمل المدينة أيضا بقايا مباني ومعابد كانت مكرسة لعبادة الآلهة نخبت ربة مصر العليا والتي تأخذ شكل طائر العقاب إلي جانب بيت ولادة وبحيرة مقدسة وكذلك بقايا معابد للإله تحوت إله الحكمة عند الفراعنة وللإله سوبك إلي جانب معبد بناه أمنحوتب الثالث في الصحراء بالإضافة إلي جبانة تضم عدد 31 مقبرة وتسمي مقابر الأشراف والتي ترجع الي عصر الدولة الحديثة من سنة 1550 ق.م إلي سنة 1070 ق.م منها مقبرة أحمس بن إبانا الصخرية والذي حارب الهكسوس وباحري ذلك النبيل الشهير الذى عاش في عصر تحتمس الثالث علاوة علي الأسوار الضخمة التي بناها الملك نختنبو الثاني من الطوب اللبن وهو ملك حكم مصر في أواخر العصور الفرعونية ويبلغ سمك هذه الأسوار أكثر من أحد عشر مترا وبالإضافة إلي ماسبق تشمل المدينة معبد صخرى يعود تاريخه إلي العصر البطلمي والذى بناه بطليموس الرابع وكثير من التلال الأثرية الأخرى التي تشهد بمجد عظيم وخالد لتلك المدينة النائمة الآن بين النيل والصحراء في ظل أسوارها العالية والتي يحدها من الشمال قرية المحاميد الحجز قبلى وهى القرية الأم ويحدها من الجنوب قرية نجع هلال .,السياحة الأثرية والتاريخية,,موقع أثرى,مصر,مقابر أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/cab.jpg',,,,,,
95,24.1026029370967,32.8904526562392,مقابر النبلاء,Tombs of the Nobles,عصر الدولة القديمة,محافظة أسوان,"مقابر النبلاء هي مقابر تقع بالقرب من الأقصر في البر الغربي للنيل وتحديداً على الضفة الغربية لأسوان، وكان يدفن في هذه المقابر حكام أسوان ورجال الدولة من عسكريين ومدنيين وكهنة وكتبة. وهي مقابر ضخمة جداً ومنحوتة في الصخر الرملي، وسيجد الزوار في المبنى الخارجي للمقابر أعمدة وبوابات وأبراج ضحمة، وفي داخلها سيجدون رسومات فرعونية ومنحوتات وغيرها.",السياحة الأثرية والتاريخية,,مقابر فرعونية,مصر,مقابر أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/aswanmakabernoblaaa.jpg',,,,,,
521,25.7307856510470,32.6089061343065,مقبرة رع موزا (TT55),The Tomb of Ramose,عصر الدولة القديمة,محافظة الأقصر,"مقبرة رع موزا، تحمل الرمز العالمي، كان رع موزا ‏ يشغل منصب حاكم «طيبة» ووزير في عهد كل من امنحوتب الثالث وامنحوتب الرابع وبداية عهد «أخناتون».",السياحة الأثرية والتاريخية,,موقع أثرى,مصر,مقابر أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/1024px-Ramose2.jpg',,,,,,
8,25.7389414519277,32.6282087409075,منزل هوارد كارتر,Howard Carter House,العصر الحديث,محافظة الأقصر,"بيت كارتر أحد البيوت المصرية الآثريه يقع في الأقصر الواقعة في محافظة الأقصر ينسب البيت إلي علم المصريات هوارد كارتر، الذي أكتشف مقبرة توت عنخ آمون تم أستخدامه كاستراحة أتناء إقامته بالأقصر، ويرجع تاريخ تاسيسه إلى عام 1910م أي قبل 12 عاماً من اكتشاف المقبرة.",السياحة الأثرية والتاريخية,,موقع أثرى,مصر,مواقع تاريخية,src='https://github.com/nasser9008/masterpicture/blob/main/202211030226222622.jpg',,,,,,
34,26.1427908345421,32.6701606093580,معبد حتحور/دندرة,Temple of Hathor/Dendera,عصر الدولة القديمة,محافظة الأقصر,"معابد دندرة هي عبارة عن عدة معابد مصرية قديمة تقع على بعد 2.5 كم جنوب شرق قرية دندرة في محافظة قنا في مصر. أهم المعابد في الموقع هو معبد هاتور الذي بُني في هذا المكان في فترة الأسرة السادسة القديمة ، وطور بناءه فيما بعد في عهد الأغريق والرومان . وهناك أيضاً معبد إيزيس، وهو معبد صغير يقع بجانب الركن الغربي للمعبد الكبير، وقام ببنائه القيصر الروماني نيرون. كما يحتوي الموقع أيضاً على بيت ماميسي أي بيت الولادة وهو مكرس إلى الإله هاتور.",السياحة الأثرية والتاريخية,,معابد قديمة,مصر,مواقع تاريخية,src='https://github.com/nasser9008/masterpicture/blob/main/dandara.jpg',,,,,,
37,26.1850087827060,31.9185302392549,مقبرة الملك نارمر,Tomb of King Narmer,عصر الدولة القديمة,محافظة الأقصر,وهو موحد القطر المصرى ومؤسس الأسرة الأولى وأول الفراعنة تم بنائها فى عهد الملك نارمر أول ملوك الاسرة الاولى تواجدت مقبرة الملك نارمر أو نعلامر أو مينا بمنطقة تسمى أم العقاب بأبيدوس وهى متهالكة إلى حد ما حيث تتكون من حجرتين وهى تقع بالقرب من مقبرة الملك كا وهو الذى سبق الملك نارمر والدير بالذكر تم اكتشاف 12 موقعاً يوجد بهم مكتشفات تخص الملك ,السياحة الأثرية والتاريخية,,مقابر فرعونية,مصر,مواقع تاريخية,src='https://github.com/nasser9008/masterpicture/blob/main/Narmer_Palette.jpg',,,,,,
38,25.7376868291030,32.6238289925920,مقبرة زراع ابو النجا,The cemetery of Zera Abu al-Naga,عصر الدولة القديمة,محافظة الأقصر,"تعد جبانة دراع ابو النجا من اهم جبانات البر الغربى بالأقصــر،بين الطريق الموصل الى وادى الملوك والطريق الموصل الى معبد الدير البحرى. وهى تعد من اقدم الجبانات فى المنطقة،وقد كشفت فيها عن مقابر مهدمة منهوبة،ترجع الى ايام الدولة الوسطى والعصر المتوسط الثانى،كما ينتشر على سفح التل عدد كبير من المقابر الصخرية الخاصة بكبار الموظفين والكهان والقواد يبلغ عددها قرابة تسعين مقبرة وترجع الى ايام الدولة الحديثة،وتتميز بنقوشها الرائعة رغم ما أصابها من تخريب.",السياحة الأثرية والتاريخية,,مقابر فرعونية,مصر,مواقع تاريخية,src='https://github.com/nasser9008/masterpicture/blob/main/zarraaaboualnagah.jpg',,,,,,
39,25.7383795009305,32.6064835420802,معبد حتشبسوت,Hatshepsut Temple,عصر الدولة القديمة,محافظة الأقصر,"اشتهر موقع الدير البحري باحتوائه على المعبد الجنائزي للملكة حتشبسوت (حوالي1473- 1458 ق.م) بالبر الغربي لمدينة الأقصر. ويتكون المعبد من ثلاث طبقات متدرجة في باطن الوادي، حيث كانت تقام فيه الطقوس الجنائزية لكل من الملكة حتشبسوت بالإضافة إلى أبيها الملك تحتمس الأول، حيث كانت تقدم في القرابين كي تضمن روح الملكة حياة أبدية سالمة في العالم الآخر. وكان موقع الدير البحري يحمل قدر من القداسة لأنه مرتبط بالمعبودة حتحور التي ترعى ملوك مصر في مقدمتهم المعبود حورس الحاكم الأول والخرافي لمصر. وكان من المعتقد أن تجسيد تلك المعبودة في التلال ذاتها التي يقع ظلها على معبد حتشبسوت، وعلى الجانب الآخر منها حيث تقع مقابر بعض أشهر ملوك مصر القديمة بالدولة الحديثة بمنطقة وادي الملوك. فنرى اللوحات التي تحمل صلوات لحتحور في صورة بقرة تخرج من هذه الجبال والتي تظهر قمتها على شكل هرمي. وكان موقع المعبد الجنائزي بالبر الغربي مرتبطًا بفكرة غروب الشمس حيث رحلة رب الشمس السفلية في العالم الآخر. كما أن هذا المعبد على الجانب الآخر من معبد آمون بالكرنك بالبر الشرقي، حيث كانت تماثيل المعبود آمون وزوجته موت وابنهما خونسو تسير في موكب احتفالي سنوي يعرف باسم عيد الأوبت وعيد الوادي الجميل، ليعبر النيل ويزور المعابد الجنائزية الملكية ومنها معبد حتشبسوت والذي كان إحدى المحطات المهمة لهذا الموكب.  وقد سبق حتشبسوت ملك آخر في إقامة معبده الجنائزي في تلك المنطقة المهمة بنحو 600 عام، وهو الملك منتوحتب نب حبت رع (حوالي 2055-2004 ق.م) من الدولة الوسطى، حيث شيد معبده على شكل متدرج اقتبست الملكة حتشبسوت تصميم معبدها منه.",السياحة الأثرية والتاريخية,,معابد قديمة,مصر,مواقع تاريخية,src='https://github.com/nasser9008/masterpicture/blob/main/hatshpsoot.jpg',,,,,,
40,25.7190615648452,32.6573126800938,معابد الكرنك,Karnak temples,عصر الدولة القديمة,محافظة الأقصر,"وهو مجمع رائع من المعابد الجميلة التي لا نظير لها حيث يضم الكرنك معابد الإله آمون وزوجته الإلهة ""موت "" وابنها الإله "" خنسو "" .بدأ إنشاء المعبد أيام الدولة الوسطى (حوالى سنة 2000 ق.م) . وفى عهد الدولة الحديثة التى ينتمى إليها الملك ""توت عنخ آمون"" والملك ""رمسيس الثاني""، أقيم على أنقاض هذا المعبد، معبد فخم يليق بعظمة الإمبراطورية المصرية الضخمة.وكان كل ملك يُضيف جديداً إلى المعبد.. وذلك تقرباً إلى الآلهة، ورغبة فى الخلود، والحصول على شهرة كبيرة عند أفراد الشعب.1- معبد ""آمون رع"" الكبير
 يتألف المعبد من محراب يقع فى أقصى الناحية الشرقية. وقد أُعد هذا المحراب لحفظ تماثيل الإله ""آمون"" وعائلته. ويعرف هذا المكان ""بقدس الأقداس"" الذى كان الظلام يلفه! ثم يتبعه بعد ذلك فناء مكشوف يغمره ضوء النهار، ثم ينتهى هذا الفناء بصرح عظيم يقع المدخل بين برجيه.
وقد تعددت مجموعة مباني هذا المعبد، واتخذت شكلاً نهائياً يشبه حرف T فى اللغة الإنجليزية، ولكنه موضوع بشكل مائل على أحد جانبيه وتُحدد هذا الحرف عشرة صروح، كما يحتوى على عدد من الأفنية. وأمام المعبد توجد ساحة عظيمة، وفيها نرى منصة مرتفعة فى الوسط، وهى التى كانت مرسى للسفن الخاصة بالمعبد فى يوم من الأيام، حيث كان النيل يجرى فيما مضى بالقرب منها.
وقد أقام الملك ""سيتى الأول"" مسلّتين عليها .. لا تزال إحداهما باقية فى مكانها، ويمتد منها إلى واجهة الصرح صفان من التماثيل التى أقامها ""رمسيس الثانى"" على هيئة ""أبو الهول""، لكل منه رأس كبش وجسم أسد. ويلاحظ أن تحت ذقن كل منها تمثالاً للملك نفسه. وهذا الطريق هو الذى يسمونه ""طريق الكِباش.
 2- صرح معبد امون وهو فناء واسع يضمه من الجانبين صفٌ من الأعمدة على هيئة نبات البردى. ( وكان يتوسطه فيما مضى ""جوسق طهارقة"" الذى كان يتكون من عشرة أعمدة رشيقة أقامها الملك ""طهارقة"" من الأسرة الخامسة والعشرين، ولا يزال أحد الأعمدة قائماً فى مكانه.)
 كما توجد فى الزاوية الشمالية الغربية من هذا الفناء ثلاثة مقصورات ، أُعدت لإيواء السفن المقدسة الخاصة بثالوث ""طيبة""، بناها الملك ""سيتى الأول"" من ملوك الأسرة التاسعة عشرة، وقد زينت جدران هذه المقصورات بنقوش بارزة تمثل السفن المقدسة.
 3 -   معبد ""رمسيس الثالث"" بالكرنك أقامه رمسيس الثالث لإيواء السفن المقدسة ويعتبر هذا المعبد نموذجاً للمعبد المصرى الكامل. فهو يبدأ بصرح عظيم يزينه تمثالان رائعان للملك من الخارج. ويليه من الداخل الفناء المكشوف الذى تحده البوائك (جمع باكية) شرقاً وغرباً. ويبدو الملك على الأعمدة فى هيئة أوزوريس.
 والجدران مزخرفة بالنقوش التى تمثل الملك فى أوضاع مختلفة أمام ""الإله آمون""، ثم يلى ذلك دهليز به صفان من الأعمدة .. الأول منها يتكون من أعمدة تلتصق بها تماثيل ""أوزيرية"" على نمط تماثيل الفناء، والصف الثانى يتكون من أربعة أعمدة على هيئة نبات البردى. ويقودنا هذا الدهليز إلى بهو الأعمدة الذى يؤدى بدوره إلى المقاصير الثلاث الخاصة بإيواء السفن المقدسة لثالوث ""طيبة"". وإلى جوارها توجد عدة غرف مظلمة كانت مستعملة لحاجيات العبادة.    
وكان هناك تمثالان عظيمان يزينان واجهة هذا الصرح للملك ""رمسيس الثانى"" وهو واقف. ولم يتبق إلا التمثال الأيمن،  ويلي ذلك الصرح بهو الأعمدة الذى تتجلى فيه صورة ما وصل إليه فن المعمار فى بلادنا المصرية من الرقي والعظمة .. إنه أشبه بغابة من الأعمدة التى تمثل نبات البردى، وتغطي مساحة من الأرض قدرها ستة آلاف متر مربع .
ويحتوى على 134 عمود ،  قطر كل منها 3,37 متراً، وارتفاع الأعمدة الجانبية 13 متراً أما ارتفاع الأعمدة الوسطى فحوالي 21 متراً، والأعمدة كلها على هيئة سيقان البردى. وتعلو الأعمدة المرتفعة منها تيجان على شكل أزهار البردى المتفتحة. وقيل عن سعة التاج إنه يتسع لوقوف أكثر من عشرة أفراد فوقه! أما الأعمدة القصيرة فتيجانها على هيئة البراعم المقفلة لزهور البردى أيضاً.
وكانت تلك القاعة مسقوفة بكتل ضخمة من الأحجار. ولا يزال بعضها فى مكانه. أما النقوش التى على تلك الأعمدة، وعلى الجدران التى وراءها فهى فى غاية الروعة والجمال. وما تزال بعض ألوانها زاهية، وهى تمثل الملك ""سيتى""، وابنه ""رمسيس الثانى""، وهما يقدمان القرابين للآلهة المختلفة. أما المناظر المحفورة على جدران هذا البهو من الخارج – ويمكن الوصول إليها بالخروج من أحد الأبواب الجانبية – فهى صور تمثل كلا من الملك ""سيتى""، وابنه ""رمسيس الثانى"" فى حروبهما المختلفة مع أعداء مصر من الحيثيين، والليبيين .     
4 - معبد خونسو
    بناه الملك ""رمسيس الثالث"" ثانى ملوك الأسرة العشرين سنة 1198 قبل الميلاد، ثم زاد فيه من بعده ولده ""رمسيس الرابع""، ثم ""رمسيس الحادى عشر""، وأخيراً أتمه ""حريحور"" رئيس الكهنة الذى أصبح ملكاً ""فرعوناً"" عام 1085 ق. م، وهو آخر ملوك الأسرة العشرين. ويتكون هذا المعبد من صرح قام بنقشه الكاهن ""بى نجم"" الذى يعد ثامن ملوك الأسرة الحادية والعشرين. ويليه فناء ذو أعمدة على شكل البردى، وتيجانها على هيئة براعم أزهار البردى أيضاً، ويلى هذا دهليز به اثنا عشر عموداً يؤدى إلى بهو الأعمدة الذى تظهر على جدرانه نقوش من عهد ""رمسيس الحادى عشر"" عاشر ملوك الأسرة العشرين، و""حريحور"" الذى كان وصياً عليه. وأخيراً نصل إلى مقصورة المراكب المقدسة الخاصة ""بخونسو""، والمحاريب المظلمة من حولها. وهى تؤلف فى مجموعها ""المحراب""، أو ""قدس الأقداس""، وبها نقوش ومناظر من عهد ""رمسيس الرابع""، ويقف خلف ""المحراب"" فناء صغير به أربعة أعمدة، وتتصل به سبع حجرات صغيرة من عهد ""رمسيس الثالث"" و""الرابع"" على التوالى. وألوان المناظر فى الحجرتين الواقعتين إلى اليمين مازالت زاهية إلى الآن. وقد خُصِّصَت الحجرة التالية لهما لعبادة ""أوزير"" الذى نراه راقدا على سريره، وإلى جانبه ""إيزيس"" و""نفتيس"" تبكيان عليه.
تعامد الشمس
تعامد الشمس على معبد الكرنك مرة واحدة سنويا وتحديدا يوم 21 ديسمبر/ كانون الأول يوم الانقلاب الشتوي أي مع بدء فصل الشتاء ويعد تعامد الشمس على قدس أقداس معبد الكرنك الحدث الثاني من حيث الأهمية بعد تعامدها على معبد أبو سمبل.
وهذا الحدث يكشف عن قدرة الفراعنة على حساب فلكي هندسي لحركة الأرض حول الشمس، ومن ثم بناء المعبد وفق هذه الحسابات.
جدير بالذكر أن الشمس تتعامد على الدير البحري وقصر قارون في نفس التوقيت (21 ديسمبر/ كانون الأول) في ظاهرة فلكية تحدث مرة واحدة سنوياً.",السياحة الأثرية والتاريخية,,معابد قديمة,مصر,مواقع تاريخية,src='https://github.com/nasser9008/masterpicture/blob/main/karnakk.jpg',,,,,,
42,25.7167578426890,32.6558564718515,معبد خونسو,Khonsu Temple,عصر الدولة القديمة,محافظة الأقصر,يقع المعبد جنوب الكرنك داخل منطقة فناء الاله امون رع في معبد الكرنك بالأقصر تم البناء في عصر الملك رمسيس الثالث أحد مشاهير ملوك الفراعنة عبر التاريخ من الأسرة 20 الفرعونية بعصور المملكة المصرية الفرعونية الحديثة. يحتوي المعبد على تماثيل الاله خنسو والمعروف عند المصريين القدماء باله القمر على شكل قرد.,السياحة الأثرية والتاريخية,,معابد قديمة,مصر,مواقع تاريخية,src='https://github.com/nasser9008/masterpicture/blob/main/kinso.JPG',,,,,,
45,25.7373396129835,32.6077520131328,خبيئة الدير البحرى,Deir el-Bahari cache,عصر الدولة القديمة,محافظة الأقصر,"مقبرة 320 بطيبة المعروفة بين علماء الآثار المصريين باسم خبيئة الدير البحري وخبيئة الأقصر وعرفت عالميا باسم DB320 وأخيرا TT320، وهي جبانة ملكية تقع على البر الغربي لنهر النيل في مواجهة مدينة الأقصر الحالية وضمت المومياوات والتجهيزات الجنائزية لأكثر من خمسين شخصية فرعونية عالية المقام ما بين ملوك وملكات وأمراء ونبلاء من أسرات مختلفة تناوبت على حكم مصر.",السياحة الأثرية والتاريخية,,مقابر فرعونية,مصر,مواقع تاريخية,src='https://github.com/nasser9008/masterpicture/blob/main/alderkabeia.jpeg',,,,,,
46,25.5829480301942,32.5329030490579,معبد الطود,El Tod Temple,عصر الدولة القديمة,محافظة الأقصر,معبد صغير من الطوب اللبن اكتشفت خبيئته عام 1963 يعود بأصوله لعهد الأسرة الخامسة الجزء الأكبر من المعبد يعود لعهدي كل من الملك منتوحتب والملك سنوسرت الأول المعبد الآن أغلبه مهدم.إلا أن بقاياه تشير إلى فترة أقدم من عهد الملك أوسركاف من الأسرة الخامسة إلى جانب بعض الإضافات فى المنطقة من عهد الدولة الحديثة,السياحة الأثرية والتاريخية,,معابد قديمة,مصر,مواقع تاريخية,src='https://github.com/nasser9008/masterpicture/blob/main/temple%20of%20tood.jpg',,,,,,
